14Jul2026,13:14:43
Sample:1  ,Method:Minerals_oi_pd,,,,,,,,
,      > Measurement 1,0.49 Wt %,,,,,,,
,      > Measurement 2,0.47 Wt %,,,,,,,
,      > Measurement 3,0.47 Wt %,,,,,,,
,      > Measurement 4,0.47 Wt %,,,,,,,
,      > Measurement 5,0.47 Wt %,,,,,,,
,ZnO,0.01 Wt %,0.00 Wt %,,,,,,
,      > Measurement 1,0.01 Wt %,,,,,,,
,      > Measurement 2,0.01 Wt %,,,,,,,
,      > Measurement 3,0.01 Wt %,,,,,,,
,      > Measurement 4,0.01 Wt %,,,,,,,
,      > Measurement 5,0.01 Wt %,,,,,,,
,,,,,,,,,
